DataMeasurementId,DateTime,SensorId,Value,Raw,diff_time,Name,DateTime_s
82,2021-10-18 10:13:29.528,109,20.0,20.0,,InletTemp-sensor,2021-10-18 10:13:29.000
83,2021-10-18 10:13:29.539,110,23.0,23.0,0.011000000000000001,SetTemp-sensor,2021-10-18 10:13:29.000
84,2021-10-18 10:13:29.560,112,4.0,3013,0.021,FanSpeed-sensor,2021-10-18 10:13:29.000
85,2021-10-18 10:13:29.576,113,2.0,HEAT,0.016,Mode-sensor,2021-10-18 10:13:29.000
264,2021-10-18 11:36:45.476,109,20.1,20.1,4995.900000000001,InletTemp-sensor,2021-10-18 11:36:45.000
334,2021-10-18 12:13:47.158,109,20.0,20.0,2221.6820000000002,InletTemp-sensor,2021-10-18 12:13:47.000
371,2021-10-18 12:56:49.148,109,20.1,20.1,2581.9900000000002,InletTemp-sensor,2021-10-18 12:56:49.000
452,2021-10-18 13:38:45.064,109,20.3,20.3,2515.916,InletTemp-sensor,2021-10-18 13:38:45.000
554,2021-10-18 14:00:04.855,109,20.3,20.3,1279.7910000000002,InletTemp-sensor,2021-10-18 14:00:04.000
555,2021-10-18 14:00:04.864,110,23.0,23.0,0.009000000000000001,SetTemp-sensor,2021-10-18 14:00:04.000
556,2021-10-18 14:00:04.878,112,4.0,3013,0.014,FanSpeed-sensor,2021-10-18 14:00:04.000
557,2021-10-18 14:00:04.889,113,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-18 14:00:04.000
586,2021-10-18 14:24:46.940,109,20.5,20.5,1482.0510000000002,InletTemp-sensor,2021-10-18 14:24:46.000
650,2021-10-18 15:10:48.620,109,20.7,20.7,2761.6800000000003,InletTemp-sensor,2021-10-18 15:10:48.000
698,2021-10-18 15:56:44.354,109,20.9,20.9,2755.7340000000004,InletTemp-sensor,2021-10-18 15:56:44.000
753,2021-10-18 16:56:47.077,109,21.0,21.0,3602.7230000000004,InletTemp-sensor,2021-10-18 16:56:47.000
902,2021-10-18 18:00:04.795,109,21.0,21.0,3797.7180000000003,InletTemp-sensor,2021-10-18 18:00:04.000
