DataMeasurementId,DateTime,SensorId,Value,Raw,diff_time,Name,DateTime_s
1,2021-10-18 10:13:28.415,1,19.1,19.1,,InletTemp-sensor,2021-10-18 10:13:28.000
2,2021-10-18 10:13:28.446,2,29.0,29.0,0.031000000000000003,SetTemp-sensor,2021-10-18 10:13:28.000
3,2021-10-18 10:13:28.469,4,4.0,3005,0.023000000000000003,FanSpeed-sensor,2021-10-18 10:13:28.000
4,2021-10-18 10:13:28.481,5,2.0,HEAT,0.012,Mode-sensor,2021-10-18 10:13:28.000
260,2021-10-18 11:34:33.376,1,19.2,19.2,4864.895,InletTemp-sensor,2021-10-18 11:34:33.000
275,2021-10-18 11:46:33.956,1,19.5,19.5,720.58,InletTemp-sensor,2021-10-18 11:46:33.000
297,2021-10-18 11:52:34.274,1,19.3,19.3,360.31800000000004,InletTemp-sensor,2021-10-18 11:52:34.000
305,2021-10-18 11:55:28.404,1,19.2,19.2,174.13000000000002,InletTemp-sensor,2021-10-18 11:55:28.000
462,2021-10-18 13:48:33.538,1,19.3,19.3,6785.134,InletTemp-sensor,2021-10-18 13:48:33.000
473,2021-10-18 14:00:03.961,1,19.3,19.3,690.423,InletTemp-sensor,2021-10-18 14:00:03.000
474,2021-10-18 14:00:03.972,2,29.0,29.0,0.011000000000000001,SetTemp-sensor,2021-10-18 14:00:03.000
475,2021-10-18 14:00:03.987,4,4.0,3005,0.015000000000000001,FanSpeed-sensor,2021-10-18 14:00:03.000
476,2021-10-18 14:00:03.996,5,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-18 14:00:03.000
583,2021-10-18 14:22:34.851,1,19.5,19.5,1350.855,InletTemp-sensor,2021-10-18 14:22:34.000
630,2021-10-18 14:58:30.170,1,19.7,19.7,2155.319,InletTemp-sensor,2021-10-18 14:58:30.000
683,2021-10-18 15:39:31.681,1,19.9,19.9,2461.511,InletTemp-sensor,2021-10-18 15:39:31.000
762,2021-10-18 17:09:29.646,1,20.1,20.1,5397.965,InletTemp-sensor,2021-10-18 17:09:29.000
788,2021-10-18 17:46:37.452,1,20.2,20.2,2227.806,InletTemp-sensor,2021-10-18 17:46:37.000
821,2021-10-18 18:00:03.924,1,20.2,20.2,806.4720000000001,InletTemp-sensor,2021-10-18 18:00:03.000
822,2021-10-18 18:00:03.959,2,29.0,29.0,0.035,SetTemp-sensor,2021-10-18 18:00:03.000
823,2021-10-18 18:00:03.974,4,4.0,3005,0.015000000000000001,FanSpeed-sensor,2021-10-18 18:00:03.000
824,2021-10-18 18:00:03.985,5,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-18 18:00:03.000
913,2021-10-18 18:09:32.523,1,20.4,20.4,568.538,InletTemp-sensor,2021-10-18 18:09:32.000
919,2021-10-18 18:14:32.758,1,20.2,20.2,300.235,InletTemp-sensor,2021-10-18 18:14:32.000
989,2021-10-18 19:55:37.525,1,20.4,20.4,6064.767000000001,InletTemp-sensor,2021-10-18 19:55:37.000
1054,2021-10-18 22:00:03.840,1,20.4,20.4,7466.3150000000005,InletTemp-sensor,2021-10-18 22:00:03.000
1055,2021-10-18 22:00:03.850,2,29.0,29.0,0.01,SetTemp-sensor,2021-10-18 22:00:03.000
1056,2021-10-18 22:00:03.866,4,4.0,3005,0.016,FanSpeed-sensor,2021-10-18 22:00:03.000
1057,2021-10-18 22:00:03.877,5,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-18 22:00:03.000
1156,2021-10-18 22:31:32.861,1,20.5,20.5,1888.9840000000002,InletTemp-sensor,2021-10-18 22:31:32.000
1157,2021-10-18 22:32:32.912,1,20.4,20.4,60.051,InletTemp-sensor,2021-10-18 22:32:32.000
1158,2021-10-18 22:34:39.001,1,20.5,20.5,126.08900000000001,InletTemp-sensor,2021-10-18 22:34:39.000
1159,2021-10-18 22:35:33.052,1,20.4,20.4,54.051,InletTemp-sensor,2021-10-18 22:35:33.000
1160,2021-10-18 22:36:33.094,1,20.5,20.5,60.042,InletTemp-sensor,2021-10-18 22:36:33.000
1204,2021-10-18 23:54:36.871,1,20.7,20.7,4683.777,InletTemp-sensor,2021-10-18 23:54:36.000
1219,2021-10-19 00:05:31.341,1,20.9,20.9,654.47,InletTemp-sensor,2021-10-19 00:05:31.000
1332,2021-10-19 02:00:03.742,1,20.9,20.9,6872.401000000001,InletTemp-sensor,2021-10-19 02:00:03.000
1333,2021-10-19 02:00:03.751,2,29.0,29.0,0.009000000000000001,SetTemp-sensor,2021-10-19 02:00:03.000
1334,2021-10-19 02:00:03.765,4,4.0,3005,0.014,FanSpeed-sensor,2021-10-19 02:00:03.000
1335,2021-10-19 02:00:03.776,5,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-19 02:00:03.000
1458,2021-10-19 02:37:38.644,1,21.0,21.0,2254.868,InletTemp-sensor,2021-10-19 02:37:38.000
1605,2021-10-19 05:38:35.304,1,21.2,21.2,10856.66,InletTemp-sensor,2021-10-19 05:38:35.000
1631,2021-10-19 06:00:03.800,1,21.2,21.2,1288.496,InletTemp-sensor,2021-10-19 06:00:03.000
1632,2021-10-19 06:00:03.809,2,29.0,29.0,0.009000000000000001,SetTemp-sensor,2021-10-19 06:00:03.000
1633,2021-10-19 06:00:03.824,4,4.0,3005,0.015000000000000001,FanSpeed-sensor,2021-10-19 06:00:03.000
1634,2021-10-19 06:00:03.833,5,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-19 06:00:03.000
1800,2021-10-19 07:27:34.425,1,21.4,21.4,5250.592000000001,InletTemp-sensor,2021-10-19 07:27:34.000
1853,2021-10-19 08:02:36.050,1,21.2,21.2,2101.625,InletTemp-sensor,2021-10-19 08:02:36.000
1900,2021-10-19 08:37:37.719,1,21.0,21.0,2101.6690000000003,InletTemp-sensor,2021-10-19 08:37:37.000
1905,2021-10-19 08:40:37.868,1,21.2,21.2,180.149,InletTemp-sensor,2021-10-19 08:40:37.000
1910,2021-10-19 08:44:38.072,1,21.4,21.4,240.204,InletTemp-sensor,2021-10-19 08:44:38.000
1925,2021-10-19 08:56:38.645,1,21.2,21.2,720.5730000000001,InletTemp-sensor,2021-10-19 08:56:38.000
1996,2021-10-19 10:00:04.157,1,21.2,21.2,3805.512,InletTemp-sensor,2021-10-19 10:00:04.000
1997,2021-10-19 10:00:04.166,2,29.0,29.0,0.009000000000000001,SetTemp-sensor,2021-10-19 10:00:04.000
1998,2021-10-19 10:00:04.182,4,4.0,3005,0.016,FanSpeed-sensor,2021-10-19 10:00:04.000
1999,2021-10-19 10:00:04.191,5,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-19 10:00:04.000
2122,2021-10-19 10:27:36.813,1,21.0,21.0,1652.622,InletTemp-sensor,2021-10-19 10:27:36.000
2188,2021-10-19 11:17:39.018,1,21.2,21.2,3002.2050000000004,InletTemp-sensor,2021-10-19 11:17:39.000
2272,2021-10-19 12:13:41.567,1,21.5,21.5,3362.5490000000004,InletTemp-sensor,2021-10-19 12:13:41.000
2278,2021-10-19 12:15:35.643,1,21.3,21.3,114.07600000000001,InletTemp-sensor,2021-10-19 12:15:35.000
2287,2021-10-19 12:21:35.905,1,21.5,21.5,360.262,InletTemp-sensor,2021-10-19 12:21:35.000
2298,2021-10-19 12:27:36.184,1,21.3,21.3,360.279,InletTemp-sensor,2021-10-19 12:27:36.000
2332,2021-10-19 13:00:37.736,1,21.5,21.5,1981.5520000000001,InletTemp-sensor,2021-10-19 13:00:37.000
