DataMeasurementId,DateTime,SensorId,Value,Raw,diff_time,Name,DateTime_s
82,2021-10-18 10:13:29.528,109,20.0,20.0,,InletTemp-sensor,2021-10-18 10:13:29
83,2021-10-18 10:13:29.539,110,23.0,23.0,0.011000000000000001,SetTemp-sensor,2021-10-18 10:13:29
84,2021-10-18 10:13:29.560,112,4.0,3013,0.021,FanSpeed-sensor,2021-10-18 10:13:29
85,2021-10-18 10:13:29.576,113,2.0,HEAT,0.016,Mode-sensor,2021-10-18 10:13:29
264,2021-10-18 11:36:45.476,109,20.1,20.1,4995.900000000001,InletTemp-sensor,2021-10-18 11:36:45
334,2021-10-18 12:13:47.158,109,20.0,20.0,2221.6820000000002,InletTemp-sensor,2021-10-18 12:13:47
371,2021-10-18 12:56:49.148,109,20.1,20.1,2581.9900000000002,InletTemp-sensor,2021-10-18 12:56:49
452,2021-10-18 13:38:45.064,109,20.3,20.3,2515.916,InletTemp-sensor,2021-10-18 13:38:45
554,2021-10-18 14:00:04.855,109,20.3,20.3,1279.7910000000002,InletTemp-sensor,2021-10-18 14:00:04
555,2021-10-18 14:00:04.864,110,23.0,23.0,0.009000000000000001,SetTemp-sensor,2021-10-18 14:00:04
556,2021-10-18 14:00:04.878,112,4.0,3013,0.014,FanSpeed-sensor,2021-10-18 14:00:04
557,2021-10-18 14:00:04.889,113,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-18 14:00:04
586,2021-10-18 14:24:46.940,109,20.5,20.5,1482.0510000000002,InletTemp-sensor,2021-10-18 14:24:46
650,2021-10-18 15:10:48.620,109,20.7,20.7,2761.6800000000003,InletTemp-sensor,2021-10-18 15:10:48
698,2021-10-18 15:56:44.354,109,20.9,20.9,2755.7340000000004,InletTemp-sensor,2021-10-18 15:56:44
753,2021-10-18 16:56:47.077,109,21.0,21.0,3602.7230000000004,InletTemp-sensor,2021-10-18 16:56:47
902,2021-10-18 18:00:04.795,109,21.0,21.0,3797.7180000000003,InletTemp-sensor,2021-10-18 18:00:04
903,2021-10-18 18:00:04.804,110,23.0,23.0,0.009000000000000001,SetTemp-sensor,2021-10-18 18:00:04
904,2021-10-18 18:00:04.818,112,4.0,3013,0.014,FanSpeed-sensor,2021-10-18 18:00:04
905,2021-10-18 18:00:04.828,113,2.0,HEAT,0.01,Mode-sensor,2021-10-18 18:00:04
907,2021-10-18 18:02:50.171,109,21.2,21.2,165.34300000000002,InletTemp-sensor,2021-10-18 18:02:50
993,2021-10-18 20:12:50.343,109,21.4,21.4,7800.1720000000005,InletTemp-sensor,2021-10-18 20:12:50
998,2021-10-18 20:31:51.201,109,21.6,21.6,1140.8580000000002,InletTemp-sensor,2021-10-18 20:31:51
1010,2021-10-18 20:52:46.238,109,21.8,21.8,1255.037,InletTemp-sensor,2021-10-18 20:52:46
1031,2021-10-18 21:28:47.921,109,21.9,21.9,2161.683,InletTemp-sensor,2021-10-18 21:28:47
1135,2021-10-18 22:00:04.808,109,21.9,21.9,1876.8870000000002,InletTemp-sensor,2021-10-18 22:00:04
1136,2021-10-18 22:00:04.818,110,23.0,23.0,0.01,SetTemp-sensor,2021-10-18 22:00:04
1137,2021-10-18 22:00:04.832,112,4.0,3013,0.014,FanSpeed-sensor,2021-10-18 22:00:04
1138,2021-10-18 22:00:04.842,113,2.0,HEAT,0.01,Mode-sensor,2021-10-18 22:00:04
1151,2021-10-18 22:15:50.150,109,22.1,22.1,945.3080000000001,InletTemp-sensor,2021-10-18 22:15:50
1178,2021-10-18 23:05:46.536,109,22.3,22.3,2996.386,InletTemp-sensor,2021-10-18 23:05:46
1228,2021-10-19 00:11:49.668,109,22.5,22.5,3963.132,InletTemp-sensor,2021-10-19 00:11:49
1294,2021-10-19 01:14:46.681,109,22.7,22.7,3777.0130000000004,InletTemp-sensor,2021-10-19 01:14:46
1295,2021-10-19 01:17:52.825,109,22.8,22.8,186.144,InletTemp-sensor,2021-10-19 01:17:52
1306,2021-10-19 01:30:53.469,109,22.9,22.9,780.644,InletTemp-sensor,2021-10-19 01:30:53
1311,2021-10-19 01:37:47.797,109,23.1,23.1,414.32800000000003,InletTemp-sensor,2021-10-19 01:37:47
1314,2021-10-19 01:41:47.969,109,23.3,23.3,240.17200000000003,InletTemp-sensor,2021-10-19 01:41:47
1323,2021-10-19 01:49:54.350,109,23.5,23.5,486.38100000000003,InletTemp-sensor,2021-10-19 01:49:54
1413,2021-10-19 02:00:04.585,109,23.5,23.5,610.235,InletTemp-sensor,2021-10-19 02:00:04
1414,2021-10-19 02:00:04.595,110,23.0,23.0,0.01,SetTemp-sensor,2021-10-19 02:00:04
1415,2021-10-19 02:00:04.615,112,4.0,3013,0.02,FanSpeed-sensor,2021-10-19 02:00:04
1416,2021-10-19 02:00:04.624,113,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-19 02:00:04
1430,2021-10-19 02:08:49.282,109,23.7,23.7,524.658,InletTemp-sensor,2021-10-19 02:08:49
1457,2021-10-19 02:36:50.611,109,23.5,23.5,1681.3290000000002,InletTemp-sensor,2021-10-19 02:36:50
1484,2021-10-19 03:07:52.103,109,23.3,23.3,1861.4920000000002,InletTemp-sensor,2021-10-19 03:07:52
1515,2021-10-19 03:39:53.616,109,23.1,23.1,1921.5130000000001,InletTemp-sensor,2021-10-19 03:39:53
1551,2021-10-19 04:24:49.817,109,22.9,22.9,2696.201,InletTemp-sensor,2021-10-19 04:24:49
1630,2021-10-19 05:59:48.249,109,22.8,22.8,5698.432000000001,InletTemp-sensor,2021-10-19 05:59:48
1712,2021-10-19 06:00:04.673,109,22.8,22.8,16.424,InletTemp-sensor,2021-10-19 06:00:04
1713,2021-10-19 06:00:04.683,110,23.0,23.0,0.01,SetTemp-sensor,2021-10-19 06:00:04
1714,2021-10-19 06:00:04.696,112,4.0,3013,0.013000000000000001,FanSpeed-sensor,2021-10-19 06:00:04
1715,2021-10-19 06:00:04.705,113,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-19 06:00:04
1850,2021-10-19 07:59:53.950,109,22.7,22.7,7189.245000000001,InletTemp-sensor,2021-10-19 07:59:53
1860,2021-10-19 08:07:54.311,109,22.8,22.8,480.36100000000005,InletTemp-sensor,2021-10-19 08:07:54
1863,2021-10-19 08:09:54.406,109,22.7,22.7,120.09500000000001,InletTemp-sensor,2021-10-19 08:09:54
1885,2021-10-19 08:24:55.132,109,22.8,22.8,900.7260000000001,InletTemp-sensor,2021-10-19 08:24:55
1886,2021-10-19 08:25:55.174,109,22.7,22.7,60.042,InletTemp-sensor,2021-10-19 08:25:55
1931,2021-10-19 09:00:50.825,109,22.8,22.8,2095.6510000000003,InletTemp-sensor,2021-10-19 09:00:50
1938,2021-10-19 09:13:51.447,109,22.9,22.9,780.6220000000001,InletTemp-sensor,2021-10-19 09:13:51
2077,2021-10-19 10:00:05.113,109,22.9,22.9,2773.666,InletTemp-sensor,2021-10-19 10:00:05
2078,2021-10-19 10:00:05.124,110,23.0,23.0,0.011000000000000001,SetTemp-sensor,2021-10-19 10:00:05
2079,2021-10-19 10:00:05.140,112,4.0,3013,0.016,FanSpeed-sensor,2021-10-19 10:00:05
2080,2021-10-19 10:00:05.150,113,2.0,HEAT,0.01,Mode-sensor,2021-10-19 10:00:05
2168,2021-10-19 10:55:50.022,109,22.8,22.8,3344.8720000000003,InletTemp-sensor,2021-10-19 10:55:50
2185,2021-10-19 11:14:50.899,109,22.9,22.9,1140.8770000000002,InletTemp-sensor,2021-10-19 11:14:50
2373,2021-10-19 13:21:50.682,109,23.1,23.1,7619.783,InletTemp-sensor,2021-10-19 13:21:50
2533,2021-10-19 14:00:04.807,109,23.1,23.1,2294.125,InletTemp-sensor,2021-10-19 14:00:04
2534,2021-10-19 14:00:04.826,110,23.0,23.0,0.019,SetTemp-sensor,2021-10-19 14:00:04
2535,2021-10-19 14:00:04.853,112,4.0,3013,0.027000000000000003,FanSpeed-sensor,2021-10-19 14:00:04
2536,2021-10-19 14:00:04.874,113,2.0,HEAT,0.021,Mode-sensor,2021-10-19 14:00:04
2551,2021-10-19 14:11:53.094,109,23.3,23.3,708.22,InletTemp-sensor,2021-10-19 14:11:53
2608,2021-10-19 14:56:55.150,109,23.5,23.5,2702.056,InletTemp-sensor,2021-10-19 14:56:55
2646,2021-10-19 15:31:56.807,109,23.7,23.7,2101.657,InletTemp-sensor,2021-10-19 15:31:56
2688,2021-10-19 16:03:52.287,109,23.8,23.8,1915.48,InletTemp-sensor,2021-10-19 16:03:52
2722,2021-10-19 16:39:53.941,109,24.0,24.0,2161.654,InletTemp-sensor,2021-10-19 16:39:53
2751,2021-10-19 17:17:55.776,109,24.2,24.2,2281.835,InletTemp-sensor,2021-10-19 17:17:55
2880,2021-10-19 18:00:04.724,109,24.2,24.2,2528.9480000000003,InletTemp-sensor,2021-10-19 18:00:04
2881,2021-10-19 18:00:04.734,110,23.0,23.0,0.01,SetTemp-sensor,2021-10-19 18:00:04
2882,2021-10-19 18:00:04.749,112,4.0,3013,0.015000000000000001,FanSpeed-sensor,2021-10-19 18:00:04
2883,2021-10-19 18:00:04.758,113,2.0,HEAT,0.009000000000000001,Mode-sensor,2021-10-19 18:00:04
2907,2021-10-19 18:32:59.291,109,24.4,24.4,1974.5330000000001,InletTemp-sensor,2021-10-19 18:32:59
2979,2021-10-19 20:26:52.757,109,24.2,24.2,6833.466,InletTemp-sensor,2021-10-19 20:26:52
3057,2021-10-19 21:50:56.757,109,24.0,24.0,5044.0,InletTemp-sensor,2021-10-19 21:50:56
3143,2021-10-19 22:00:04.704,109,24.0,24.0,547.947,InletTemp-sensor,2021-10-19 22:00:04
3144,2021-10-19 22:00:04.714,110,23.0,23.0,0.01,SetTemp-sensor,2021-10-19 22:00:04
3145,2021-10-19 22:00:04.729,112,4.0,3013,0.015000000000000001,FanSpeed-sensor,2021-10-19 22:00:04
3146,2021-10-19 22:00:04.741,113,2.0,HEAT,0.012,Mode-sensor,2021-10-19 22:00:04
3188,2021-10-19 23:03:54.185,109,23.8,23.8,3829.4440000000004,InletTemp-sensor,2021-10-19 23:03:54
3243,2021-10-19 23:50:56.365,109,24.0,24.0,2822.1800000000003,InletTemp-sensor,2021-10-19 23:50:56
3278,2021-10-20 00:31:58.343,109,23.8,23.8,2461.978,InletTemp-sensor,2021-10-20 00:31:58
3327,2021-10-20 01:31:01.121,109,23.7,23.7,3542.7780000000002,InletTemp-sensor,2021-10-20 01:31:01
3422,2021-10-20 02:00:04.599,109,23.7,23.7,1743.478,InletTemp-sensor,2021-10-20 02:00:04
3423,2021-10-20 02:00:04.610,110,23.0,23.0,0.011000000000000001,SetTemp-sensor,2021-10-20 02:00:04
3424,2021-10-20 02:00:04.625,112,4.0,3013,0.015000000000000001,FanSpeed-sensor,2021-10-20 02:00:04
3425,2021-10-20 02:00:04.636,113,2.0,HEAT,0.011000000000000001,Mode-sensor,2021-10-20 02:00:04
3447,2021-10-20 02:48:58.847,109,23.5,23.5,2934.2110000000002,InletTemp-sensor,2021-10-20 02:48:58
3489,2021-10-20 04:03:56.397,109,23.3,23.3,4497.55,InletTemp-sensor,2021-10-20 04:03:56
3534,2021-10-20 05:14:53.689,109,23.1,23.1,4257.292,InletTemp-sensor,2021-10-20 05:14:53
3653,2021-10-20 06:00:04.587,109,23.1,23.1,2710.898,InletTemp-sensor,2021-10-20 06:00:04
3654,2021-10-20 06:00:04.596,110,23.0,23.0,0.009000000000000001,SetTemp-sensor,2021-10-20 06:00:04
3655,2021-10-20 06:00:04.610,112,4.0,3013,0.014,FanSpeed-sensor,2021-10-20 06:00:04
3656,2021-10-20 06:00:04.620,113,2.0,HEAT,0.01,Mode-sensor,2021-10-20 06:00:04
3686,2021-10-20 06:29:57.199,109,22.9,22.9,1792.5790000000002,InletTemp-sensor,2021-10-20 06:29:57
3747,2021-10-20 07:23:59.730,109,23.1,23.1,3242.5310000000004,InletTemp-sensor,2021-10-20 07:23:59
3828,2021-10-20 08:16:56.264,109,22.9,22.9,3176.534,InletTemp-sensor,2021-10-20 08:16:56
3860,2021-10-20 08:41:57.445,109,22.8,22.8,1501.181,InletTemp-sensor,2021-10-20 08:41:57
3885,2021-10-20 09:02:58.381,109,22.7,22.7,1260.9360000000001,InletTemp-sensor,2021-10-20 09:02:58
3945,2021-10-20 09:57:00.874,109,22.5,22.5,3242.4930000000004,InletTemp-sensor,2021-10-20 09:57:00
4028,2021-10-20 10:00:04.561,109,22.5,22.5,183.687,InletTemp-sensor,2021-10-20 10:00:04
4029,2021-10-20 10:00:04.572,110,23.0,23.0,0.011000000000000001,SetTemp-sensor,2021-10-20 10:00:04
4030,2021-10-20 10:00:04.588,112,4.0,3013,0.016,FanSpeed-sensor,2021-10-20 10:00:04
4031,2021-10-20 10:00:04.612,113,2.0,HEAT,0.024,Mode-sensor,2021-10-20 10:00:04
4059,2021-10-20 10:23:02.161,109,22.7,22.7,1377.549,InletTemp-sensor,2021-10-20 10:23:02
4062,2021-10-20 10:26:56.338,109,22.8,22.8,234.17700000000002,InletTemp-sensor,2021-10-20 10:26:56
4091,2021-10-20 10:45:03.191,109,22.7,22.7,1086.853,InletTemp-sensor,2021-10-20 10:45:03
4132,2021-10-20 11:06:58.279,109,22.5,22.5,1315.0880000000002,InletTemp-sensor,2021-10-20 11:06:58
4518,2021-10-20 14:00:04.617,109,22.5,22.5,10386.338,InletTemp-sensor,2021-10-20 14:00:04
4519,2021-10-20 14:00:04.626,110,23.0,23.0,0.009000000000000001,SetTemp-sensor,2021-10-20 14:00:04
